Year	Clutch	HatchlingID	HatchlingNumber	EggMass	IncTemp	MaxIncLength	ScaledDevMaxIncLength	AgeAtTrials	WinterHous	DaysWintHous	SCL2	CW2	PL2	PW2	BD2	NV2	VT2	Mass2	Round	RRTimeSec	LatencySec	ActiveRRTimeSec	RRTimeMin	LatencyMin	ActiveRRTimeMin
2019	6	32	6-4	10.2781	24	105	-0.5653	189	Aquatic	186	33.24	32.56	31.2	23.8	14.97	3.18	9.84	7.8439	1	NA	74	NA	NA	1.233333333	NA
2019	6	32	6-4	10.2781	24	105	-0.5653	189	Aquatic	186	33.24	32.56	31.2	23.8	14.97	3.18	9.84	7.8439	2	NA	66	NA	NA	1.1	NA
2019	6	32	6-4	10.2781	24	105	-0.5653	189	Aquatic	186	33.24	32.56	31.2	23.8	14.97	3.18	9.84	7.8439	3	NA	160	NA	NA	2.666666667	NA
2019	6	33	6-5	11.7117	32	54	-2.2696	239	Terrestrial	151	34.36	35.43	32.93	27.3	15.69	1.26	9.86	8.8095	1	161	50	111	2.683333333	0.833333333	1.85
2019	6	33	6-5	11.7117	32	54	-2.2696	239	Terrestrial	151	34.36	35.43	32.93	27.3	15.69	1.26	9.86	8.8095	2	132	51	81	2.2	0.85	1.35
2019	6	33	6-5	11.7117	32	54	-2.2696	239	Terrestrial	151	34.36	35.43	32.93	27.3	15.69	1.26	9.86	8.8095	3	280	38	242	4.666666667	0.633333333	4.033333333
2019	7	34	7-1	13.6861	24	105	0	182	Aquatic	145	36.47	37.73	34.13	27.26	16.95	3.31	11.5	10.4691	1	142	138	4	2.366666667	2.3	0.066666667
2019	7	34	7-1	13.6861	24	105	0	182	Aquatic	145	36.47	37.73	34.13	27.26	16.95	3.31	11.5	10.4691	2	288	286	2	4.8	4.766666667	0.033333333
2019	7	34	7-1	13.6861	24	105	0	182	Aquatic	145	36.47	37.73	34.13	27.26	16.95	3.31	11.5	10.4691	3	267	179	88	4.45	2.983333333	1.466666667
2019	7	35	7-2	9.7914	28	68	-0.311	221	Terrestrial	151	31.59	33.38	30.06	23.72	15.38	1.48	9.49	6.8941	1	293	192	101	4.883333333	3.2	1.683333333
2019	7	35	7-2	9.7914	28	68	-0.311	221	Terrestrial	151	31.59	33.38	30.06	23.72	15.38	1.48	9.49	6.8941	2	211	148	63	3.516666667	2.466666667	1.05
2019	7	35	7-2	9.7914	28	68	-0.311	221	Terrestrial	151	31.59	33.38	30.06	23.72	15.38	1.48	9.49	6.8941	3	85	83	2	1.416666667	1.383333333	0.033333333
