Year	Clutch	HatchlingID	HatchlingNumber	EggMass	IncTemp	MaxIncLength	ScaledDevMaxIncLength	AgeAtTrials	WinterHous	DaysWintHous	SCL1	CW1	PL1	PW1	BD1	NV1	VT1	Mass1	SCL2	CW2	PL2	PW2	BD2	NV2	VT2	Mass2	DaysBwMeas	SCLgrD	CWgrD	PLgrD	PWgrD	MassgrD
2020	12	74	2-5	9.6616	30	60	-1.0302	238	Aquatic	180	30.66	27.27	29.17	22.5	17.39	3.04	9.11	8.3361	42.84	42.3	39.01	33.66	21.63	3.7	11.97	19.2755	236	0.051610169	0.063686441	0.041694915	0.047288136	0.04635339
2020	12	75	2-6	8.4879	30	60	-0.8242	237	Aquatic	180	28.93	27.54	27.47	22.69	16.75	3.83	9.75	7.1833	33.36	34.51	31.35	27.4	16.75	2.59	9.75	8.7262	235	0.018851064	0.029659574	0.016510638	0.020042553	0.006565532
2020	12	76	2-7	9.7412	28	68	-0.9329	231	Aquatic	180	31.23	30.63	29.66	24.48	15.97	3.08	10.97	7.9951	31.79	32.48	30.36	24.98	15.11	3.3	10.38	7.019	227	0.00246696	0.00814978	0.0030837	0.002202643	-0.0043
2020	12	77	2-8	9.9379	26	85	-1.1004	217	Aquatic	180	31.92	29.82	29.61	23.7	16.82	3.24	10.83	8.5489	48.92	46.36	44.32	36.33	22.82	4.86	14.32	24.2724	214	0.079439252	0.07728972	0.068738318	0.059018692	0.073474299
2020	13	78	3-1	13.1803	28	68	-1.0884	211	Aquatic	180	32.79	31.23	30.69	24.86	17.08	3.06	12.01	9.6785	38.23	39.02	34.21	30.1	17.65	2.64	10.95	11.3664	209	0.026028708	0.037272727	0.016842105	0.02507177	0.008076077
2020	13	79	3-2	14.3302	30	60	-1.4423	219	Aquatic	180	34.69	32.85	31.87	25.57	18.79	2.5	10.6	11.145	49.28	48.89	43.65	37.46	22.61	3.18	12.87	23.7489	217	0.067235023	0.073917051	0.054285714	0.054792627	0.058082488
2020	13	80	3-3	13.9642	32	54	-1.513	222	Aquatic	180	34.85	33.04	33.78	26.59	18.87	3.14	11.1	10.9911	37.7	37.9	35.81	28.98	18.04	2.46	12.46	11.8958	220	0.012954545	0.022090909	0.009227273	0.010863636	0.004112273
2020	13	81	3-4	12.2313	26	85	-1.7117	201	Aquatic	180	31.64	28.51	30.32	22.65	17.73	2.64	13.1	9.408	35.61	37.48	32.88	27.37	16.57	2.83	12.7	9.7409	199	0.019949749	0.045075377	0.012864322	0.023718593	0.001672864
2020	13	82	3-5	14.0201	24	105	-1.2113	182	Aquatic	158	34.41	29.4	32.63	24.05	18.82	3.45	12.94	10.928	39.12	40.75	35.87	29.48	16.66	3.33	12.8	11.5128	179	0.026312849	0.063407821	0.018100559	0.030335196	0.003267039
2020	13	83	3-6	13.161	24	105	-0.8883	178	Aquatic	158	32.65	32.77	30.52	26.61	17.04	4.04	11.59	9.7644	35.39	36.69	32.56	27.72	16.51	3.51	11.92	9.8067	176	0.015568182	0.022272727	0.011590909	0.006306818	0.000240341
2020	13	84	3-7	12.4154	26	85	-1.834	202	Aquatic	180	32.26	31.66	29.89	24.51	17.37	2.69	10.31	9.1899	34.56	36.64	32.57	28.13	15.99	3.12	9.84	8.8535	200	0.0115	0.0249	0.0134	0.0181	-0.001682
2020	13	85	3-8	13.2131	30	60	-1.4423	219	Aquatic	180	31.74	32.05	29.59	25.1	16.59	2.95	11.46	9.1628	46.84	48.33	41.82	36.61	21.88	3.23	14.08	23.0542	216	0.069907407	0.07537037	0.05662037	0.053287037	0.064312037
2020	14	86	4-1	7.8762	26	85	-0.9781	182	Aquatic	158	28.21	27.19	27.07	20.35	15.42	2.56	10.19	5.9618	29.13	29.88	28.39	21.59	14.49	2.63	10.25	5.5565	179	0.005139665	0.015027933	0.007374302	0.006927374	-0.002264246
2020	14	88	4-5	8.9671	28	68	-0.4665	194	Aquatic	180	29.98	25.92	27.84	21.03	17.74	2.8	10.83	7.7897	40.16	39.8	35.08	30.02	20.19	4.14	12.19	16.0309	193	0.052746114	0.071917098	0.037512953	0.046580311	0.042700518
2020	14	89	4-6	8.3461	32	54	-2.6478	212	Aquatic	180	28.3	27.1	27.63	21.2	16.69	2.4	9.13	6.4793	33.77	35.23	31.76	26.28	16.82	3.02	9.79	8.7441	210	0.026047619	0.038714286	0.019666667	0.024190476	0.010784762
2020	14	90	4-8	8.8797	30	60	-0.8242	203	Aquatic	180	30.12	29.31	28.48	22.55	15.92	2.46	10.01	7.3641	33.62	34.34	31.64	26.88	15.94	3.11	9.26	8.0686	201	0.017412935	0.025024876	0.015721393	0.021542289	0.003504975
2020	14	91	4-9	9.1045	26	85	-1.2227	184	Aquatic	180	30.13	29.24	28.35	22.91	17.57	3.63	10.72	7.8518	37.2	37.44	32.64	26.98	17.54	3.19	10.44	10.603	182	0.038846154	0.045054945	0.023571429	0.022362637	0.015116484
2020	14	92	4-10	9.3336	28	68	-0.4665	194	Aquatic	180	30.67	26.37	28.25	20.91	17.88	2.55	10.95	7.6353	32.6	32.97	29.75	24.29	15.81	2.47	10.79	7.3184	192	0.010052083	0.034375	0.0078125	0.017604167	-0.001650521
